Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,36547,0,77,0,0,40,1,1,0
Alaska,33375,0,86,0,0,15,1,1,0
Arizona,416192,0,844,0,0,66,5,6,0
Arkansas,29898,0,67,0,0,21,0,1,0
California,778629,0,1367,0,0,183,7,19,0
Colorado,151523,0,311,0,0,55,1,4,0
Connecticut,15571,0,35,0,0,9,0,0,0
Delaware,5186,0,12,0,0,3,0,0,0
District of Columbia,2562,0,3,0,0,0,0,0,0
Florida,149355,0,241,0,0,69,2,5,0
Georgia,82857,0,151,0,0,42,1,3,0
Hawaii,73660,0,138,0,0,25,2,1,0
Idaho,430757,0,1117,0,0,63,4,4,0
Illinois,57080,0,130,0,0,36,2,3,0
Indiana,43614,0,100,0,0,29,0,1,0
Iowa,27131,0,69,0,0,30,0,1,0
Kansas,36377,0,78,0,0,25,0,1,0
Kentucky,34210,0,78,0,0,23,1,1,0
Louisiana,29779,0,54,0,0,13,1,1,0
Maine,10876,0,26,0,0,11,0,0,0
Maryland,43439,0,81,0,0,13,1,2,0
Massachusetts,26678,0,52,0,0,12,1,1,0
Michigan,43748,0,94,0,0,41,1,2,0
Minnesota,32030,0,76,0,0,24,1,1,0
Mississippi,21630,0,44,0,0,16,0,1,0
Missouri,69451,0,152,0,0,46,2,2,0
Montana,48968,0,123,0,0,48,1,1,0
Nebraska,24357,0,60,0,0,18,1,1,0
Nevada,182072,0,330,0,0,29,2,3,0
New Hampshire,8211,0,19,0,0,6,0,1,0
New Jersey,33164,0,63,0,0,18,0,1,0
New Mexico,69850,0,143,0,0,31,1,2,0
New York,81128,0,150,0,0,53,2,4,0
North Carolina,82162,0,154,0,0,46,1,2,0
North Dakota,11017,0,22,0,0,7,1,0,0
Ohio,60810,0,126,0,0,42,1,3,0
Oklahoma,46588,0,88,0,0,26,1,2,0
Oregon,153226,0,306,0,0,65,2,3,0
Pennsylvania,51406,0,111,0,0,42,0,2,0
Rhode Island,4002,0,8,0,0,1,0,0,0
South Carolina,40288,0,68,0,0,19,1,1,0
South Dakota,10875,0,34,0,0,11,0,1,0
Tennessee,49277,0,105,0,0,30,2,2,0
Texas,334772,0,635,0,0,111,4,8,0
Utah,2000554,0,4971,0,0,152,15,9,0
Vermont,4646,0,12,0,0,6,0,0,0
Virginia,94273,0,197,0,0,36,0,3,0
Washington,282356,0,549,0,0,79,3,7,0
West Virginia,17040,0,36,0,0,14,0,1,0
Wisconsin,25871,0,68,0,0,24,0,1,0
Wyoming,67199,0,157,0,0,37,0,0,0
