Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,230,0,1,0,0,1,0,0,0
Aruba,564,0,2,0,0,1,0,0,0
Bahamas,1029,0,3,0,0,1,0,0,0
Barbados,1005,0,3,0,0,1,0,1,0
Belize,5332,0,11,0,0,2,0,0,0
Canada,195180,0,494,0,0,190,8,7,0
Cayman Islands,216,0,1,0,0,0,0,0,0
Costa Rica,47474,0,75,0,0,12,1,2,0
Curacao,550,0,1,0,0,1,0,0,0
Dominica,165,0,1,0,0,0,0,0,0
Dominican Republic,131907,0,194,0,0,30,1,3,0
El Salvador,124650,0,164,0,0,20,1,3,0
Grenada,416,0,1,0,0,0,0,0,0
Guadeloupe,519,0,3,0,0,2,0,0,0
Guatemala,267470,0,430,0,0,57,2,6,0
Haiti,22323,0,46,0,0,11,0,1,0
Honduras,172253,0,235,0,0,29,1,4,0
Jamaica,6346,0,18,0,0,4,0,1,0
Martinique,212,0,1,0,0,1,0,0,0
Mexico,1417011,0,2016,0,0,280,13,34,0
Nicaragua,95768,0,109,0,0,12,0,2,0
Panama,52702,0,72,0,0,13,1,1,0
Puerto Rico,23328,0,41,0,0,8,0,1,0
Saint Kitts and Nevis,238,0,1,0,0,1,0,0,0
Saint Lucia,351,0,2,0,0,0,0,0,0
Saint Maarten,281,0,1,0,0,0,0,0,0
Saint Vincent,653,0,2,0,0,1,0,0,0
Trinidad and Tobago,3454,0,9,0,0,1,0,1,0
United States,6592195,0,14225,0,0,2132,78,124,0
Virgin Islands,597,0,2,0,0,0,0,0,0
Argentina,445108,0,769,0,0,109,2,14,0
Bolivia,199057,0,248,0,0,35,1,5,0
Brazil,1354127,0,2055,0,0,357,6,34,0
Chile,585887,0,602,0,0,104,1,10,0
Colombia,196668,0,256,0,0,51,1,5,0
Ecuador,239448,0,305,0,0,49,1,5,0
French Guiana,403,0,1,0,0,0,0,0,0
Guyana,5674,0,13,0,0,1,0,0,0
Paraguay,91906,0,137,0,0,19,1,2,0
