Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,276,0,1,0,1,0,0,0,0
Aruba,618,0,2,0,2,0,0,0,0
Bahamas,1054,0,3,0,3,0,0,0,0
Barbados,1134,0,3,0,3,0,0,1,1
Belize,5519,0,12,0,12,0,0,0,0
Canada,199534,53,499,352,147,0,9,6,4
Cayman Islands,224,0,1,0,1,0,0,0,0
Costa Rica,52047,10,78,59,19,0,1,2,1
Curacao,575,0,1,0,1,0,0,0,0
Dominica,145,0,1,0,1,0,0,0,0
Dominican Republic,145397,21,201,139,62,0,1,3,9
El Salvador,129194,22,158,129,29,0,1,3,0
Grenada,396,0,1,0,1,0,0,0,0
Guadeloupe,548,0,3,0,3,0,0,0,0
Guatemala,284780,51,436,297,139,0,2,7,12
Haiti,24911,5,48,27,21,0,1,1,4
Honduras,183405,31,236,179,57,0,1,4,5
Jamaica,6718,1,18,6,12,0,0,1,1
Martinique,261,0,1,0,1,0,0,0,0
Mexico,1498296,222,1849,1355,494,0,13,32,47
Nicaragua,101133,12,109,71,38,0,0,2,4
Panama,60108,7,73,44,29,0,1,1,4
Puerto Rico,23473,5,38,27,11,0,0,1,1
Saint Kitts and Nevis,212,0,1,0,1,0,0,0,0
Saint Lucia,394,0,2,0,2,0,0,0,0
Saint Vincent,715,0,3,0,3,0,0,0,0
Sint Maarten,286,0,1,0,1,0,0,0,0
Trinidad and Tobago,3505,1,9,5,4,0,0,1,0
United States,6763019,1671,14676,12858,1818,0,82,109,6
Virgin Islands,589,0,2,0,2,0,0,0,0
Argentina,474399,78,725,484,241,0,2,13,27
Bolivia,217331,33,271,208,63,0,1,5,8
Brazil,1456238,281,2176,1774,402,0,7,36,40
Chile,602696,74,568,408,160,0,2,10,16
Colombia,212840,30,254,176,78,0,2,5,10
Ecuador,258314,42,315,262,53,0,1,6,5
French Guiana,482,0,1,0,1,0,0,0,0
Guyana,6417,0,11,0,11,0,0,0,0
Paraguay,97389,11,133,61,72,0,1,2,9
Peru,624569,112,780,667,113,0,3,14,17
