Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,366,0,1,0,1,0,0,0,0
Aruba,686,0,2,0,2,0,0,0,0
Bahamas,1125,0,3,0,3,0,0,0,0
Barbados,1082,0,3,0,3,0,0,1,1
Belize,5741,0,12,0,12,0,0,0,0
Canada,211581,56,501,359,142,0,9,6,3
Cayman Islands,264,0,1,0,1,0,0,0,0
Costa Rica,58373,10,81,61,20,0,1,2,1
Curacao,639,0,1,0,1,0,0,0,0
Dominica,180,0,1,0,1,0,0,0,0
Dominican Republic,156358,22,203,145,58,0,1,4,9
El Salvador,132399,22,154,126,28,0,1,3,0
Grenada,429,0,1,0,1,0,0,0,0
Guadeloupe,628,0,3,0,3,0,0,0,0
Guatemala,297143,51,441,296,145,0,3,7,10
Haiti,27550,5,56,31,25,0,1,1,4
Honduras,197073,31,242,180,62,0,2,4,5
Jamaica,7856,1,18,6,12,0,0,1,1
Martinique,285,0,1,0,1,0,0,0,0
Mexico,1572287,231,1875,1401,474,0,14,34,42
Nicaragua,106953,12,109,71,38,0,0,2,4
Panama,63936,7,80,48,32,0,1,1,4
Puerto Rico,26947,5,38,27,11,0,1,1,1
Saint Kitts and Nevis,292,0,1,0,1,0,0,0,0
Saint Lucia,435,0,2,0,2,0,0,0,0
Saint Vincent,767,0,3,0,3,0,0,0,0
Sint Maarten,358,0,1,0,1,0,0,0,0
Trinidad and Tobago,3458,1,10,5,5,0,0,0,0
United States,6929770,1742,14641,12821,1820,0,101,120,13
Virgin Islands,704,0,2,0,2,0,0,0,0
Argentina,505819,80,742,506,236,0,5,14,25
Bolivia,235773,33,290,220,70,0,1,6,8
Brazil,1573360,289,2008,1650,358,0,11,37,34
Chile,624203,81,578,456,122,0,3,11,9
Colombia,223090,32,260,182,78,0,2,5,9
Ecuador,279046,44,338,276,62,0,2,7,5
French Guiana,522,0,1,0,1,0,0,0,0
Guyana,7400,0,12,0,12,0,0,1,2
Paraguay,106345,11,135,63,72,0,1,2,9
Peru,667836,118,809,684,125,0,4,15,17
Suriname,1991,0,6,0,6,0,0,0,0
Uruguay,112449,18,132,100,32,0,1,2,2
Venezuela,179389,33,235,176,59,0,1,4,6
Albania,3285,1,13,5,8,0,0,1,0
Andorra,0,0,0,0,0,0,0,0,0
Armenia,3579,0,8,0,8,0,0,1,1
Austria,4753,2,17,14,3,0,0,0,0
Belgium,7164,2,14,9,5,0,0,0,0
Bosnia and Herzegovina,91,0,1,0,1,0,0,0,0
Bulgaria,2424,0,7,0,7,0,0,1,1
Croatia,739,0,5,0,5,0,0,1,1
Cyprus,701,0,5,0,5,0,0,0,0
Czech Republic,2787,1,12,7,5,0,0,1,0
Denmark,4426,2,21,13,8,0,1,1,0
Estonia,1149,0,4,0,4,0,0,0,0
Finland,5024,3,29,18,11,0,1,1,0
France,40546,10,109,70,39,0,1,2,0
Georgia,498,0,3,0,3,0,0,0,0
Germany,42229,14,146,97,49,0,2,5,0
Greece,818,0,2,0,2,0,0,0,0
Guernsey,60,0,1,0,1,0,0,0,0
Hungary,5274,1,19,5,14,0,0,1,2
Iceland,445,0,4,0,4,0,0,0,0
Ireland,4923,1,12,6,6,0,0,0,0
Isle of Man,285,0,1,1,0,0,0,0,0
Italy,30105,10,91,62,29,0,1,2,0
Jersey,269,0,1,0,1,0,0,0,0
Latvia,1281,0,4,0,4,0,0,1,1
Lithuania,1024,0,5,0,5,0,0,0,0
Luxembourg,526,0,2,2,0,0,0,0,0
Malta,320,0,1,0,1,0,0,0,0
Moldova,471,0,2,0,2,0,0,0,0
Montenegro,65,0,1,0,1,0,0,0,0
Netherlands,9027,3,24,19,5,0,1,1,0
Norway,4547,2,19,10,9,0,0,1,0
Poland,2315,0,11,0,11,0,0,1,1
Portugal,50341,8,64,47,17,0,1,2,1
Romania,3127,0,15,0,15,0,0,1,1
Russia,18306,2,51,11,40,0,0,3,4
Serbia,422,0,1,0,1,0,0,0,0
Slovakia,334,0,4,0,4,0,0,0,0
Slovenia,466,0,2,0,2,0,0,0,0
Spain,71995,17,150,95,55,0,1,3,1
Sweden,9569,4,38,25,13,0,1,1,1
Switzerland,9630,5,34,26,8,0,1,0,0
Turkey,808,0,7,0,7,0,0,0,0
Ukraine,10014,2,41,11,30,0,1,2,3
United Kingdom,190066,41,298,257,41,0,2,6,0
Bahrain,231,1,1,1,0,0,0,0,0
Cambodia,18070,2,30,9,21,0,0,2,4
China,0,0,0,0,0,0,0,0,0
Hong Kong,24930,4,26,20,6,0,1,1,1
India,15664,4,47,21,26,0,0,2,3
Indonesia,7655,2,24,16,8,0,0,1,1
Israel,422,0,3,0,3,0,0,0,0
Japan,131776,22,230,142,88,0,4,7,9
Kazakhstan,245,0,3,0,3,0,0,0,0
Kuwait,369,0,1,1,0,0,0,0,0
Macau,1595,0,2,0,2,0,0,0,0
Malaysia,11769,0,24,0,24,0,0,0,0
Mongolia,13250,2,24,12,12,0,0,1,1
Philippines,905082,141,1370,890,480,0,3,26,49
Singapore,3262,1,6,6,0,0,0,1,0
South Korea,89092,12,99,60,39,0,1,3,5
Sri Lanka,1732,0,4,0,4,0,0,0,0
Taiwan,63425,16,97,87,10,0,1,2,0
Thailand,24825,4,44,21,23,0,1,2,2
United Arab Emirates,2002,1,6,5,1,0,0,0,0
American Samoa,17646,5,44,38,6,0,0,0,0
Australia,165272,40,300,232,68,0,5,5,4
Cook Islands,1890,0,5,0,5,0,0,0,0
Fiji,24847,4,52,26,26,0,1,1,1
French Polynesia,30350,11,94,74,20,0,1,1,0
Guam,2768,1,4,4,0,0,1,1,0
Kiribati,23585,4,45,20,25,0,0,0,0
Marshall Islands,6927,2,13,12,1,0,0,1,0
Micronesia,6241,1,22,5,17,0,0,0,0
