Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Reunion,859,0,4,0,4,5,0,0,0
Rwanda,2489,0,10,0,10,0,0,1,1
Sierra Leone,34617,11,94,70,24,19,0,2,2
South Africa,74455,18,197,111,86,99,2,4,9
Swaziland,2348,0,6,0,6,2,0,0,0
Tanzania,5022,0,34,0,34,1,0,1,4
Togo,7684,3,28,19,9,3,0,0,0
Uganda,25210,3,54,18,36,8,0,1,4
Zambia,7072,1,20,6,14,5,0,1,2
Zimbabwe,46071,11,102,65,37,30,0,2,2
