Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,38845,8,76,48,28,0,1,1,0
Alaska,33250,9,80,59,21,0,1,1,0
Arizona,438249,116,940,855,85,0,6,6,0
Arkansas,34027,7,71,49,22,0,0,2,0
California,734989,147,1189,1059,130,0,7,15,0
Colorado,149007,35,314,279,35,0,2,4,0
Connecticut,15625,3,37,29,8,0,1,0,0
Delaware,5595,2,12,10,2,0,0,0,0
District of Columbia,3136,0,4,4,0,0,0,0,0
Florida,164558,34,282,227,55,0,2,4,0
Georgia,87908,19,167,135,32,0,1,2,0
Hawaii,74858,16,142,127,15,0,2,1,0
Idaho,471241,136,1213,1160,53,0,6,3,0
Illinois,56535,12,118,93,25,0,2,1,0
Indiana,46253,12,99,76,23,0,1,1,0
Iowa,28471,8,71,41,30,0,0,1,0
Kansas,38640,7,74,59,15,0,0,1,0
Kentucky,37077,8,83,51,32,0,1,1,0
Louisiana,29550,7,53,34,19,0,1,1,0
Maine,10987,2,26,18,8,0,0,0,0
Maryland,43309,10,83,64,19,0,1,2,0
Massachusetts,27932,7,57,43,14,0,1,1,0
Michigan,45185,9,96,60,36,0,1,2,1
Minnesota,32863,8,74,53,21,0,1,1,0
Mississippi,21936,4,49,30,19,0,0,0,0
Missouri,75375,18,159,136,23,0,2,2,0
Montana,51289,13,127,88,39,0,1,1,0
Nebraska,25055,5,57,40,17,0,1,1,0
Nevada,182569,42,362,323,39,0,2,3,0
New Hampshire,8967,3,21,17,4,0,0,1,0
New Jersey,34163,6,66,42,24,0,0,1,0
New Mexico,69096,14,137,102,35,0,1,2,0
New York,82866,17,143,93,50,0,2,2,1
North Carolina,91521,18,179,140,39,0,1,2,0
North Dakota,11287,3,26,20,6,0,1,1,0
Ohio,63007,14,127,104,23,0,1,2,0
Oklahoma,50800,9,93,73,20,0,1,1,0
Oregon,151151,35,301,253,48,0,2,3,0
Pennsylvania,52149,13,107,78,29,0,1,2,0
Rhode Island,4283,1,8,6,2,0,0,0,0
South Carolina,42902,9,77,62,15,0,1,1,0
South Dakota,11297,2,30,14,16,0,0,0,0
Tennessee,55456,12,112,82,30,0,2,2,0
Texas,371007,78,737,611,126,0,4,10,2
Utah,2161526,620,5375,5053,322,0,17,10,2
Vermont,4655,1,12,8,4,0,0,0,0
Virginia,96748,22,216,179,37,0,0,2,0
Washington,283609,61,521,457,64,0,3,7,0
West Virginia,17179,4,34,23,11,0,0,1,0
Wisconsin,27582,6,67,48,19,0,0,1,0
Wyoming,67454,19,172,143,29,0,1,0,0
