Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,37237,0,74,0,0,44,1,1,0
Alaska,33810,0,86,0,0,15,1,1,0
Arizona,423056,0,890,0,0,74,5,6,0
Arkansas,30694,0,69,0,0,25,0,1,0
California,771464,0,1320,0,0,226,7,20,0
Colorado,151884,0,309,0,0,64,2,4,0
Connecticut,15834,0,35,0,0,10,1,0,0
Delaware,5400,0,12,0,0,3,0,0,0
District of Columbia,2758,0,3,0,0,1,0,0,0
Florida,154921,0,258,0,0,84,2,5,0
Georgia,84415,0,155,0,0,43,1,3,0
Hawaii,73927,0,139,0,0,26,2,1,0
Idaho,444614,0,1123,0,0,73,4,4,0
Illinois,57109,0,126,0,0,40,2,3,0
Indiana,44669,0,101,0,0,40,1,1,0
Iowa,28157,0,70,0,0,31,0,1,0
Kansas,37632,0,77,0,0,29,0,1,0
Kentucky,34954,0,78,0,0,26,1,1,0
Louisiana,29934,0,55,0,0,15,1,1,0
Maine,10978,0,26,0,0,10,0,0,0
Maryland,43534,0,81,0,0,14,1,2,0
Massachusetts,27204,0,57,0,0,18,1,1,0
Michigan,44662,0,94,0,0,45,1,2,0
Minnesota,32719,0,75,0,0,29,1,1,0
Mississippi,21849,0,50,0,0,20,0,1,0
Missouri,70389,0,151,0,0,49,2,2,0
Montana,50145,0,124,0,0,52,1,1,0
Nebraska,24765,0,59,0,0,18,1,1,0
Nevada,182617,0,336,0,0,32,2,3,0
New Hampshire,8668,0,20,0,0,6,0,1,0
New Jersey,33478,0,63,0,0,20,0,1,0
New Mexico,69617,0,148,0,0,29,1,2,0
New York,81741,0,145,0,0,63,2,4,0
North Carolina,84902,0,161,0,0,48,1,2,0
North Dakota,11256,0,23,0,0,7,1,1,0
Ohio,61490,0,125,0,0,46,1,3,0
Oklahoma,47349,0,93,0,0,29,1,2,0
Oregon,153936,0,310,0,0,76,2,3,0
Pennsylvania,51666,0,109,0,0,44,1,2,0
Rhode Island,4070,0,9,0,0,1,0,0,0
South Carolina,40216,0,68,0,0,23,1,1,0
South Dakota,10450,0,32,0,0,13,0,0,0
Tennessee,50030,0,106,0,0,34,2,2,0
Texas,348130,0,681,0,0,131,4,8,0
Utah,2065808,0,5069,0,0,168,16,10,0
Vermont,4548,0,12,0,0,8,0,0,0
Virginia,95198,0,200,0,0,46,0,3,0
Washington,287433,0,553,0,0,94,3,8,0
West Virginia,16981,0,34,0,0,14,0,1,0
Wisconsin,26392,0,67,0,0,28,0,1,0
Wyoming,67505,0,164,0,0,45,1,1,0
