Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,286,0,1,0,1,1,0,0,0
Aruba,626,0,2,0,2,2,0,0,0
Bahamas,1075,0,3,0,3,1,0,0,0
Barbados,1163,0,3,0,3,1,0,1,1
Belize,5534,0,12,0,12,2,0,0,0
Canada,200836,53,493,349,144,154,9,6,4
Cayman Islands,230,0,1,0,1,0,0,0,0
Costa Rica,53234,10,78,59,19,27,1,2,1
Curacao,582,0,1,0,1,1,0,0,0
Dominica,160,0,1,0,1,0,0,0,0
Dominican Republic,147566,22,203,144,59,33,1,3,8
El Salvador,129467,22,155,127,28,49,1,3,0
Grenada,394,0,1,0,1,0,0,0,0
Guadeloupe,550,0,3,0,3,1,0,0,0
Guatemala,287475,51,439,297,142,127,2,7,12
Haiti,25525,5,50,31,19,12,1,1,4
Honduras,185182,31,236,178,58,78,1,4,5
Jamaica,6810,1,18,6,12,7,0,1,1
Martinique,258,0,1,0,1,1,0,0,0
Mexico,1507720,227,1863,1369,494,383,13,32,47
Nicaragua,101361,12,109,71,38,35,0,2,4
Panama,61009,7,72,43,29,26,1,1,4
Puerto Rico,23243,5,38,27,11,8,1,1,1
Saint Kitts and Nevis,219,0,1,0,1,1,0,0,0
Saint Lucia,392,0,2,0,2,2,0,0,0
Saint Vincent,726,0,3,0,3,1,0,0,0
Sint Maarten,292,0,1,0,1,0,0,0,0
Trinidad and Tobago,3477,1,10,5,5,1,0,1,0
United States,6804028,1681,14614,12806,1808,1864,82,110,6
Virgin Islands,616,0,2,0,2,0,0,0,0
Argentina,474985,78,726,484,242,133,2,13,27
Bolivia,221030,33,272,209,63,53,1,5,8
Brazil,1472521,281,2176,1773,403,454,9,36,40
Chile,604302,74,572,415,157,103,2,10,16
Colombia,214454,30,257,175,82,53,2,5,10
Ecuador,261767,42,317,263,54,57,2,6,5
French Guiana,500,0,1,0,1,1,0,0,0
Guyana,6645,0,12,0,12,4,0,0,0
Paraguay,98498,11,133,61,72,20,1,2,9
Peru,630099,112,779,665,114,167,3,14,17
Suriname,1797,0,6,0,6,3,0,0,0
Uruguay,106911,18,129,97,32,23,1,2,2
