Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,313,0,1,0,1,1,0,0,0
Aruba,638,0,2,0,2,2,0,0,0
Bahamas,1076,0,3,0,3,1,0,0,0
Barbados,1185,0,3,0,3,1,0,1,1
Belize,5631,0,12,0,12,4,0,0,0
Canada,203339,53,489,347,142,152,9,6,4
Cayman Islands,234,0,1,0,1,0,0,0,0
Costa Rica,54473,10,80,60,20,29,1,2,1
Curacao,589,0,1,0,1,1,0,0,0
Dominica,167,0,1,0,1,0,0,0,0
Dominican Republic,149655,22,203,146,57,42,1,3,9
El Salvador,129963,22,155,127,28,52,1,3,0
Grenada,402,0,1,0,1,0,0,0,0
Guadeloupe,576,0,3,0,3,1,0,0,0
Guatemala,290068,52,439,296,143,142,2,7,12
Haiti,25560,5,50,31,19,14,1,1,4
Honduras,187341,31,239,178,61,85,1,4,5
Jamaica,6846,1,18,6,12,8,0,1,1
Martinique,275,0,1,0,1,1,0,0,0
Mexico,1516406,230,1876,1394,482,566,13,32,44
Nicaragua,101907,12,109,71,38,36,0,2,4
Panama,61980,7,75,43,32,27,1,1,4
Puerto Rico,23222,5,38,27,11,11,1,1,1
Saint Kitts and Nevis,227,0,1,0,1,1,0,0,0
Saint Lucia,404,0,2,0,2,2,0,0,0
Saint Vincent,717,0,3,0,3,1,0,0,0
Sint Maarten,284,0,1,0,1,0,0,0,0
Trinidad and Tobago,3488,1,10,5,5,2,0,1,0
United States,6868793,1693,14593,12792,1801,1871,89,110,6
Virgin Islands,638,0,2,0,2,0,0,0,0
Argentina,481518,79,729,491,238,176,2,13,25
Bolivia,225140,33,273,211,62,72,1,5,8
Brazil,1494571,285,2172,1783,389,524,10,36,39
Chile,607583,78,571,441,130,123,2,10,11
Colombia,215331,31,256,174,82,72,2,5,10
Ecuador,264802,44,327,271,56,73,2,6,4
French Guiana,507,0,1,0,1,1,0,0,0
Guyana,6834,0,12,0,12,4,0,0,0
Paraguay,100121,11,133,62,71,23,1,2,9
Peru,637180,115,784,666,118,201,4,14,17
Suriname,1848,0,6,0,6,3,0,0,0
Uruguay,108060,18,130,97,33,26,1,2,2
Venezuela,176623,33,234,177,57,57,1,4,6
Albania,3328,1,14,6,8,4,0,1,1
Andorra,0,0,0,0,0,0,0,0,0
Armenia,3572,0,7,0,7,4,0,1,1
Austria,4648,2,17,14,3,12,0,0,0
Belgium,6685,2,12,10,2,8,0,0,0
Bosnia and Herzegovina,78,0,1,0,1,0,0,0,0
Bulgaria,2414,0,7,0,7,4,0,1,0
Croatia,655,0,6,0,6,4,0,1,1
Cyprus,596,0,5,0,5,3,0,0,0
Czech Republic,2679,1,12,7,5,2,0,1,0
Denmark,4357,2,21,13,8,13,1,1,0
Estonia,1125,0,4,0,4,2,0,0,0
Finland,4898,3,29,18,11,29,1,1,0
France,39097,10,108,70,38,73,1,2,0
Georgia,274,0,2,0,2,1,0,0,0
Germany,39975,14,150,102,48,98,2,3,1
Greece,809,0,2,0,2,1,0,0,0
Guernsey,59,0,1,0,1,1,0,0,0
Hungary,5231,1,21,5,16,13,0,1,2
