Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,37765,8,76,48,28,0,1,1,0
Alaska,33495,8,80,59,21,0,1,1,0
Arizona,436521,115,926,842,84,0,6,6,0
Arkansas,32307,7,69,46,23,0,0,2,0
California,756507,153,1229,1092,137,0,7,15,0
Colorado,150509,35,311,279,32,0,2,4,0
Connecticut,15946,3,36,29,7,0,1,0,0
Delaware,5634,2,12,10,2,0,0,0,0
District of Columbia,3144,0,4,3,1,0,0,0,0
Florida,160266,33,267,219,48,0,2,4,0
Georgia,87411,17,164,130,34,0,1,2,0
Hawaii,75009,16,141,125,16,0,2,1,0
Idaho,462069,132,1181,1128,53,0,5,3,0
Illinois,56888,12,119,94,25,0,2,1,0
Indiana,45952,11,101,76,25,0,1,1,0
Iowa,28402,8,68,42,26,0,0,1,0
Kansas,38311,7,75,60,15,0,0,1,0
Kentucky,35886,8,79,49,30,0,1,1,0
Louisiana,29589,7,55,35,20,0,1,1,0
Maine,10958,2,26,18,8,0,0,0,0
Maryland,43411,9,77,63,14,0,1,2,0
Massachusetts,28040,6,57,42,15,0,1,1,0
Michigan,45074,8,96,60,36,0,1,2,1
Minnesota,33276,8,75,52,23,0,1,1,0
Mississippi,21649,4,50,29,21,0,0,0,0
Missouri,72525,18,154,132,22,0,2,2,0
Montana,50552,13,126,87,39,0,1,1,0
Nebraska,25098,5,57,40,17,0,1,1,0
Nevada,184703,42,350,318,32,0,2,3,0
New Hampshire,8872,3,21,16,5,0,0,1,0
New Jersey,34173,6,64,42,22,0,0,1,0
New Mexico,69488,14,138,103,35,0,1,2,0
New York,83293,17,140,92,48,0,2,2,1
North Carolina,89083,17,173,141,32,0,1,2,0
North Dakota,11550,3,26,21,5,0,1,1,0
Ohio,62623,13,125,102,23,0,1,2,0
Oklahoma,49227,9,93,74,19,0,1,1,0
Oregon,153540,35,306,259,47,0,2,3,0
Pennsylvania,52290,12,108,78,30,0,1,2,0
Rhode Island,4259,1,8,6,2,0,0,0,0
South Carolina,41358,9,71,59,12,0,1,1,0
South Dakota,10610,2,30,12,18,0,0,0,0
Tennessee,52920,12,110,79,31,0,2,2,0
Texas,362037,77,723,599,124,0,4,8,2
Utah,2126216,604,5229,4914,315,0,17,10,1
Vermont,4623,1,12,7,5,0,0,0,0
Virginia,96496,22,204,173,31,0,0,2,0
Washington,289479,62,544,476,68,0,3,7,0
West Virginia,17143,4,35,24,11,0,0,1,0
Wisconsin,27125,6,67,48,19,0,0,1,0
Wyoming,67729,17,171,145,26,0,1,1,0
