###,Temple,Dedicated,Square-feet,Height (feet),Rededicated?,Num_Spires,Spire_Attached,Angel_Moroni,Instruction_Rooms,Sealing_Rooms,Baptismal_Fonts,Square_Footage,Acreage
145,cordoba argentina temple,17 May 2015,"34,369",90,,1,Attached,Yes,2,2,1,"34,369",5.18
073,albuquerque new mexico temple,05 Mar 2000,"34,000",114,,1,Attached,Yes,2,3,1,"34,245",8.5
148,indianapolis indiana temple,23 Aug 2015,"34,000",106,,1,Attached,Yes,2,2,1,"34,000",18.11
097,houston texas temple,26 Aug 2000,"33,970",159,,1,Attached,Yes,2,3,1,"33,970",11
066,billings montana temple,20 Nov 1999,"33,800",120,,1,Attached,Yes,2,3,1,"33,800",10
051,vernal utah temple,02 Nov 1997,"33,400",100,,2,Attached,Yes,2,3,1,"38,771",1.6
149,tijuana mexico temple,13 Dec 2015,"33,367",151,,1,Attached,Yes,2,2,1,"33,367",9.4
140,calgary canada temple,28 Oct 2012,"33,000",115 ,,1,Attached,Yes,2,3,1,"33,000",10.17
082,cochabamba bolivia temple,30 Apr 2000,"33,000",116,,5,Attached,Yes,2,3,1,"33,302",6.67
190,urdaneta philippines temple,28 Apr 2024,"32,604",136,,1,Attached,Yes,2,3,1,"32,604",15.34
155,hartford connecticut temple,20 Nov 2016,"32,246",117,,1,Attached,Yes,2,2,1,"32,246",11.3
138,manaus brazil temple,10 Jun 2012,"32,032",126,,1,Attached,Yes,2,2,1,"32,032",7.7
137,kansas city missouri temple,06 May 2012,"32,000",150,,2,Attached,Yes,2,3,1,"32,000",8.05
128,twin falls idaho temple,24 Aug 2008,"31,245",153,,1,Attached,Yes,2,3,1,"31,245",9.1
034,stockholm sweden temple,02 Jul 1985,"31,000",112,,6,Detached,Yes,-,-,-,"31,000",4.47
039,buenos aires argentina temple,17 Jan 1986,"30,659",112,Yes,6,Detached,Yes,4,3,1,"30,659",3.73
143,fort lauderdale florida temple,04 May 2014,"30,500",100,,1,Attached,Yes,2,3,1,"30,500",16.82
028,sydney australia temple,20 Sep 1984,"30,067",86,,1,Attached,Yes,2,3,1,"30,067",3
171,rio de janeiro brazil temple,08 May 2022,"29,996",156,,1,Attached,Yes,2,2,1,"29,966",9.44
133,cebu city philippines temple,13 Jun 2010,"29,556",140,,1,Attached,Yes,2,2,1,"29,556",11.6
182,moses lake washington temple,17 Sep 2023,"28,933",118,,1,Attached,No,2,2,1,"28,933",17.2
