Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,264,0,1,0,1,0,0,0,0
Aruba,590,0,2,0,2,0,0,0,0
Bahamas,1074,0,3,0,3,0,0,0,0
Barbados,1089,0,4,0,4,0,0,1,1
Belize,5485,0,12,0,12,0,0,0,0
Canada,199054,51,497,348,149,0,8,6,4
Cayman Islands,231,0,1,0,1,0,0,0,0
Costa Rica,51320,10,79,59,20,0,1,2,1
Curacao,565,0,1,0,1,0,0,0,0
Dominica,145,0,1,0,1,0,0,0,0
Dominican Republic,143870,21,196,130,66,0,1,3,9
El Salvador,128881,22,158,129,29,0,1,3,0
Grenada,438,0,1,0,1,0,0,0,0
Guadeloupe,547,0,3,0,3,0,0,0,0
Guatemala,281465,51,438,300,138,0,2,7,12
Haiti,24192,5,48,27,21,0,1,1,4
Honduras,180646,31,239,179,60,0,1,4,5
Jamaica,6668,1,18,6,12,0,0,1,1
Martinique,252,0,1,0,1,0,0,0,0
Mexico,1481530,222,1843,1356,487,0,13,32,47
Nicaragua,100331,12,112,73,39,0,0,2,4
Panama,59526,7,73,44,29,0,1,1,4
Puerto Rico,23395,5,39,27,12,0,0,1,0
Saint Kitts and Nevis,230,0,1,0,1,0,0,0,0
Saint Lucia,395,0,2,0,2,0,0,0,0
Saint Vincent,716,0,3,0,3,0,0,0,0
Sint Maarten,297,0,1,0,1,0,0,0,0
Trinidad and Tobago,3524,1,9,5,4,0,0,1,0
United States,6721032,1642,14459,12677,1782,0,81,108,5
Virgin Islands,589,0,2,0,2,0,0,0,0
Argentina,470843,78,734,484,250,0,2,13,27
Bolivia,212148,33,270,207,63,0,1,5,8
Brazil,1429935,277,2142,1747,395,0,7,35,39
Chile,602373,74,568,410,158,0,2,10,16
Colombia,209985,30,249,176,73,0,2,5,10
Ecuador,253781,42,313,261,52,0,1,5,6
French Guiana,488,0,1,0,1,0,0,0,0
Guyana,6264,0,11,0,11,0,0,0,0
Paraguay,96114,11,134,61,73,0,1,2,9
Peru,619045,112,780,666,114,0,3,14,17
Suriname,1747,0,5,0,5,0,0,0,0
