Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,244,0,1,0,1,0,0,0,0
Aruba,587,0,2,0,2,0,0,0,0
Bahamas,1071,0,3,0,3,0,0,0,0
Barbados,1057,0,3,0,3,0,0,1,1
Belize,5429,0,12,0,12,0,0,0,0
Canada,197710,50,492,345,147,0,8,7,3
Cayman Islands,226,0,1,0,1,0,0,0,0
Costa Rica,50282,10,79,59,20,0,1,2,2
Curacao,553,0,1,0,1,0,0,0,0
Dominica,146,0,1,0,1,0,0,0,0
Dominican Republic,138539,20,195,129,66,0,1,3,9
El Salvador,127573,22,163,134,29,0,1,3,0
Grenada,420,0,1,0,1,0,0,0,0
Guadeloupe,517,0,3,0,3,0,0,0,0
Guatemala,277755,49,441,291,150,0,2,6,14
Haiti,23723,5,46,26,20,0,1,1,4
Honduras,178214,31,238,179,59,0,1,4,5
Jamaica,6542,1,18,6,12,0,0,1,2
Martinique,231,0,1,0,1,0,0,0,0
Mexico,1455774,220,1846,1354,492,0,13,32,47
Nicaragua,100089,12,112,73,39,0,0,2,4
Panama,58082,7,73,45,28,0,1,1,4
Puerto Rico,23306,5,39,27,12,0,0,1,0
Saint Kitts and Nevis,227,0,1,0,1,0,0,0,0
Saint Lucia,377,0,2,0,2,0,0,0,0
Saint Vincent,707,0,3,0,3,0,0,0,0
Sint Maarten,277,0,1,0,1,0,0,0,0
Trinidad and Tobago,3497,1,9,5,4,0,0,1,0
United States,6681829,1629,14274,12501,1773,0,81,117,6
Virgin Islands,561,0,2,0,2,0,0,0,0
Argentina,460764,77,751,490,261,0,2,14,29
Bolivia,207534,33,257,195,62,0,1,5,8
Brazil,1394616,273,2111,1692,419,0,6,35,38
Chile,595526,77,590,430,160,0,2,10,16
Colombia,205431,29,246,168,78,0,2,5,11
Ecuador,248651,42,305,245,60,0,1,5,8
French Guiana,453,0,1,0,1,0,0,0,0
Guyana,6001,0,11,0,11,0,0,0,0
Paraguay,94836,11,134,61,73,0,1,2,9
Peru,605045,104,759,634,125,0,2,13,19
Suriname,1630,0,5,0,5,0,0,0,0
Uruguay,106177,18,139,103,36,0,1,2,3
Venezuela,166688,34,231,181,50,0,1,4,5
Albania,3086,1,14,6,8,0,0,1,0
Andorra,0,0,0,0,0,0,0,0,0
Armenia,3560,0,11,0,11,0,0,1,2
Austria,4702,2,17,14,3,0,0,0,0
Belgium,6585,2,12,10,2,0,0,0,0
Bosnia and Herzegovina,80,0,2,0,2,0,0,0,0
Bulgaria,2444,0,7,0,7,0,0,1,0
Croatia,632,0,6,0,6,0,0,1,1
Cyprus,452,0,4,0,4,0,0,0,0
Czech Republic,2627,1,12,7,5,0,0,1,0
Denmark,4458,2,22,13,9,0,1,1,0
Estonia,1135,0,4,0,4,0,0,0,0
Finland,4880,2,30,15,15,0,1,1,2
France,39473,10,109,68,41,0,1,2,0
Georgia,253,0,2,0,2,0,0,0,0
Germany,39917,14,152,94,58,0,2,3,0
Greece,798,0,3,0,3,0,0,0,0
Guernsey,63,0,1,0,1,0,0,0,0
