Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,35708,0,78,0,0,36,1,1,0
Kentucky,33455,0,77,0,0,23,1,1,0
North Dakota,9122,0,19,0,0,7,1,0,0
Alaska,33033,0,83,0,0,16,1,1,0
Louisiana,29366,0,53,0,0,13,1,1,0
Ohio,59662,0,127,0,0,43,1,2,0
Arizona,404261,0,821,0,0,60,3,4,0
Maine,10778,0,27,0,0,11,0,0,0
Oklahoma,45008,0,84,0,0,24,1,2,0
Arkansas,28667,0,64,0,0,20,0,1,0
Maryland,43227,0,79,0,0,13,1,2,0
Oregon,150630,0,305,0,0,66,2,2,0
California,777061,0,1348,0,0,185,7,16,0
Massachusetts,25996,0,50,0,0,10,1,1,0
Pennsylvania,51171,0,108,0,0,40,0,2,0
Colorado,147707,0,303,0,0,52,1,3,0
Michigan,43178,0,95,0,0,42,1,2,0
Rhode Island,4054,0,7,0,0,1,0,0,0
Connecticut,15273,0,33,0,0,9,0,0,0
Minnesota,31298,0,75,0,0,23,1,1,0
South Carolina,38676,0,67,0,0,20,1,1,0
Delaware,5080,0,12,0,0,3,0,0,0
Mississippi,21704,0,44,0,0,16,0,1,0
South Dakota,10385,0,33,0,0,11,0,1,0
District of Columbia,2485,0,3,0,0,0,0,0,0
Missouri,67943,0,151,0,0,45,2,2,0
Tennessee,47343,0,99,0,0,30,2,2,0
Florida,143057,0,235,0,0,68,1,5,0
Montana,47854,0,120,0,0,46,1,1,0
Texas,315895,0,608,0,0,113,4,8,0
Georgia,80584,0,151,0,0,42,1,2,0
Nebraska,23688,0,61,0,0,18,1,1,0
Utah,1951937,0,4870,0,0,148,14,8,0
Hawaii,72459,0,135,0,0,25,2,1,0
Nevada,178737,0,324,0,0,29,2,3,0
Vermont,4596,0,12,0,0,6,0,0,0
Idaho,422345,0,1097,0,0,63,4,2,0
New Hampshire,8335,0,20,0,0,6,0,1,0
Virginia,92407,0,196,0,0,35,0,2,0
Illinois,56531,0,127,0,0,36,2,2,0
New Jersey,32744,0,60,0,0,18,0,1,0
Washington,276837,0,538,0,0,78,3,5,0
Indiana,42147,0,99,0,0,29,0,1,0
New Mexico,69365,0,138,0,0,30,1,2,0
West Virginia,17060,0,37,0,0,13,0,1,0
Iowa,26001,0,69,0,0,28,0,1,0
New York,79933,0,148,0,0,51,2,4,0
Wisconsin,25686,0,68,0,0,24,0,1,0
Kansas,35627,0,76,0,0,24,0,0,0
North Carolina,79835,0,154,0,0,44,1,2,0
Wyoming,65485,0,154,0,0,38,0,0,0
