Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,36874,0,74,0,0,44,1,1,0
Alaska,33649,0,88,0,0,15,1,1,0
Arizona,418959,0,857,0,0,71,5,6,0
Arkansas,30447,0,67,0,0,25,0,1,0
California,773762,0,1357,0,0,222,7,20,0
Colorado,151580,0,312,0,0,63,1,4,0
Connecticut,15752,0,35,0,0,13,0,0,0
Delaware,5239,0,12,0,0,3,0,0,0
District of Columbia,2624,0,3,0,0,1,0,0,0
Florida,152217,0,251,0,0,81,2,5,0
Georgia,83628,0,155,0,0,43,1,3,0
Hawaii,73740,0,140,0,0,27,2,1,0
Idaho,437106,0,1127,0,0,72,4,4,0
Illinois,56920,0,128,0,0,39,2,3,0
Indiana,44071,0,100,0,0,39,1,1,0
Iowa,27675,0,69,0,0,33,0,1,0
Kansas,37099,0,78,0,0,29,0,1,0
Kentucky,34491,0,80,0,0,26,1,1,0
Louisiana,29772,0,55,0,0,15,1,1,0
Maine,10966,0,26,0,0,10,0,0,0
Maryland,43387,0,79,0,0,15,1,2,0
Massachusetts,27055,0,54,0,0,19,1,1,0
Michigan,44206,0,94,0,0,45,1,2,0
Minnesota,32321,0,76,0,0,29,1,1,0
Mississippi,21770,0,45,0,0,20,0,1,0
Missouri,69454,0,153,0,0,53,2,2,0
Montana,49597,0,122,0,0,52,1,1,0
Nebraska,24855,0,61,0,0,18,1,1,0
Nevada,182125,0,330,0,0,32,2,3,0
New Hampshire,8246,0,19,0,0,6,0,1,0
New Jersey,33352,0,64,0,0,20,0,1,0
New Mexico,69896,0,146,0,0,30,1,2,0
New York,81132,0,151,0,0,62,2,4,0
North Carolina,83829,0,158,0,0,49,1,2,0
North Dakota,11195,0,23,0,0,7,1,1,0
Ohio,60971,0,127,0,0,46,1,3,0
Oklahoma,47044,0,91,0,0,28,1,2,0
Oregon,153633,0,307,0,0,74,2,3,0
Pennsylvania,51336,0,114,0,0,46,0,2,0
Rhode Island,4034,0,8,0,0,1,0,0,0
South Carolina,39894,0,68,0,0,23,1,1,0
South Dakota,10422,0,32,0,0,13,0,0,0
Tennessee,49576,0,105,0,0,33,2,2,0
Texas,341022,0,656,0,0,129,4,8,0
Utah,2040178,0,5033,0,0,171,16,10,0
Vermont,4596,0,12,0,0,8,0,0,0
Virginia,94528,0,197,0,0,46,0,3,0
Washington,284631,0,557,0,0,88,3,8,0
West Virginia,16959,0,34,0,0,14,0,1,0
Wisconsin,26161,0,67,0,0,28,0,1,0
Wyoming,67680,0,163,0,0,45,0,1,0
