Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,40540,8,75,47,28,44,1,1,0
Alaska,33948,9,82,60,22,15,1,1,0
Arizona,442879,117,924,835,89,74,6,6,0
Arkansas,36630,7,74,51,23,25,1,2,0
California,728598,147,1112,977,135,228,8,15,0
Colorado,149186,35,310,277,33,64,2,4,0
Connecticut,16030,3,34,28,6,10,1,0,0
Delaware,5736,2,11,10,1,3,0,0,0
District of Columbia,3215,0,4,4,0,1,0,0,0
Florida,172918,32,274,224,50,84,2,4,0
Georgia,91142,19,162,134,28,44,1,2,0
Hawaii,75635,16,143,127,16,26,2,2,0
Idaho,476118,138,1228,1179,49,70,6,3,0
Illinois,57837,12,117,91,26,42,2,1,0
Indiana,47789,12,101,78,23,40,1,1,0
Iowa,29285,8,68,44,24,30,0,1,0
Kansas,39793,7,74,59,15,29,0,1,0
Kentucky,38535,8,83,51,32,28,1,1,0
Louisiana,29913,7,51,33,18,15,1,1,0
Maine,11233,2,26,18,8,10,0,0,0
Maryland,44094,10,82,65,17,14,1,2,0
Massachusetts,28667,7,57,42,15,18,1,1,0
Michigan,46044,10,99,62,37,43,1,2,1
Minnesota,33759,8,75,54,21,29,1,1,0
Mississippi,22297,4,49,30,19,20,0,0,0
Missouri,80440,19,164,138,26,51,2,2,0
Montana,52068,13,133,90,43,50,2,1,0
Nebraska,25935,5,57,42,15,18,1,1,0
Nevada,182786,43,343,306,37,34,2,3,0
New Hampshire,8553,3,18,14,4,6,0,1,0
New Jersey,35453,6,62,41,21,20,0,1,0
New Mexico,69432,14,137,104,33,31,1,2,0
New York,87605,17,145,96,49,65,2,2,1
North Carolina,95875,20,183,139,44,51,1,2,0
North Dakota,11682,3,26,20,6,7,1,1,0
Ohio,64595,15,127,101,26,46,1,2,0
Oklahoma,52844,11,95,75,20,30,1,1,0
Oregon,150170,34,291,243,48,76,2,3,0
Pennsylvania,53025,13,107,80,27,46,1,2,0
Rhode Island,4796,1,9,8,1,1,0,0,0
South Carolina,45810,10,83,66,17,23,1,1,0
South Dakota,11601,2,31,14,17,13,0,0,0
Tennessee,59202,12,117,86,31,35,2,2,0
Texas,385600,79,751,622,129,138,5,10,2
Utah,2190610,633,5417,5102,315,170,18,10,2
Vermont,4624,1,12,8,4,8,0,0,0
Virginia,98786,22,210,173,37,46,1,2,0
Washington,281802,60,482,428,54,97,4,7,0
West Virginia,17557,4,37,25,12,14,0,1,0
Wisconsin,28430,6,69,48,21,29,0,1,0
Wyoming,67691,19,172,143,29,46,1,0,0
