Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,37913,7,76,45,31,0,1,1,0
Alaska,33298,8,80,59,21,0,1,1,0
Arizona,432161,115,904,821,83,0,6,6,0
Arkansas,31765,7,69,42,27,0,0,1,0
California,761054,154,1240,1110,130,0,7,18,0
Colorado,150958,35,305,277,28,0,2,4,0
Connecticut,15834,3,35,28,7,0,1,0,0
Delaware,5620,2,12,10,2,0,0,0,0
District of Columbia,2805,0,4,3,1,0,0,0,0
Florida,158617,32,270,221,49,0,2,5,0
Georgia,85927,17,160,124,36,0,1,3,0
Hawaii,74699,16,141,125,16,0,2,1,0
Idaho,456496,132,1156,1103,53,0,5,4,0
Illinois,57001,12,121,93,28,0,2,2,0
Indiana,45395,11,101,75,26,0,1,1,0
Iowa,28408,8,66,42,24,0,0,1,0
Kansas,38077,7,75,60,15,0,0,1,0
Kentucky,35779,8,78,48,30,0,1,1,0
Louisiana,29750,7,55,35,20,0,1,1,0
Maine,10994,2,26,18,8,0,0,0,0
Maryland,44094,9,78,64,14,0,1,2,0
Massachusetts,27805,6,57,41,16,0,1,1,0
Michigan,45039,8,95,60,35,0,1,2,1
Minnesota,33331,8,75,53,22,0,1,1,0
Mississippi,21561,4,51,30,21,0,0,0,0
Missouri,71774,18,153,130,23,0,2,2,0
Montana,50333,13,124,87,37,0,1,1,0
Nebraska,25046,4,55,41,14,0,1,1,0
Nevada,184565,42,345,315,30,0,2,3,0
New Hampshire,8875,3,21,16,5,0,0,1,0
New Jersey,33926,6,64,42,22,0,0,1,0
New Mexico,69333,14,138,103,35,0,1,2,0
New York,82731,17,139,91,48,0,2,3,1
North Carolina,87768,17,166,136,30,0,1,2,0
North Dakota,11406,3,25,20,5,0,1,1,0
Ohio,62326,13,124,101,23,0,1,2,0
Oklahoma,48268,9,93,73,20,0,1,2,0
Oregon,153338,35,304,257,47,0,2,3,0
Pennsylvania,51954,12,108,79,29,0,1,2,0
Rhode Island,4165,1,8,6,2,0,0,0,0
South Carolina,40887,7,69,56,13,0,1,1,0
South Dakota,10654,2,33,12,21,0,0,0,0
Tennessee,51863,12,111,79,32,0,2,2,0
Texas,357625,75,698,580,118,0,4,8,2
Utah,2109578,596,5146,4824,322,0,17,10,1
Vermont,4622,1,11,7,4,0,0,0,0
Virginia,95873,22,200,171,29,0,0,3,0
Washington,289068,62,542,472,70,0,3,7,0
West Virginia,17045,4,34,24,10,0,0,1,0
Wisconsin,27003,6,66,47,19,0,0,1,0
Wyoming,67421,17,167,145,22,0,1,1,0
