Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,191,0,1,0,0,0,0,0,0
Aruba,534,0,2,0,0,1,0,0,0
Bahamas,1006,0,3,0,0,1,0,0,0
Barbados,949,0,3,0,0,1,0,1,0
Belize,5152,0,11,0,0,2,0,0,0
Canada,193850,0,486,0,0,186,8,7,0
Cayman Islands,201,0,1,0,0,0,0,0,0
Costa Rica,46116,0,74,0,0,12,1,2,0
Curacao,541,0,1,0,0,1,0,0,0
Dominica,167,0,1,0,0,0,0,0,0
Dominican Republic,129017,0,199,0,0,29,1,3,0
El Salvador,122799,0,163,0,0,20,1,3,0
Grenada,387,0,1,0,0,0,0,0,0
Guadeloupe,507,0,3,0,0,2,0,0,0
Guatemala,261013,0,420,0,0,56,2,6,0
Haiti,21414,0,44,0,0,7,0,1,0
Honduras,169140,0,232,0,0,28,1,4,0
Jamaica,6008,0,19,0,0,4,0,1,0
Martinique,215,0,1,0,0,1,0,0,0
Mexico,1394708,0,2015,0,0,274,13,34,0
Nicaragua,92152,0,103,0,0,12,0,2,0
Panama,51818,0,71,0,0,13,1,1,0
Puerto Rico,23191,0,42,0,0,8,0,1,0
Saint Kitts and Nevis,211,0,1,0,0,1,0,0,0
Saint Lucia,338,0,2,0,0,0,0,0,0
Saint Maarten,244,0,1,0,0,0,0,0,0
Saint Vincent,621,0,2,0,0,0,0,0,0
Trinidad and Tobago,3405,0,10,0,0,1,0,1,0
United States,6531656,0,14160,0,0,2124,74,124,0
Virgin Islands,599,0,2,0,0,0,0,0,0
Argentina,438056,0,767,0,0,109,2,14,0
Bolivia,195516,0,250,0,0,35,1,5,0
Brazil,1326738,0,2038,0,0,341,6,34,0
Chile,581155,0,606,0,0,102,1,10,0
Colombia,193350,0,264,0,0,51,1,5,0
Ecuador,234606,0,307,0,0,48,1,5,0
French Guiana,373,0,1,0,0,0,0,0,0
Guyana,5575,0,13,0,0,1,0,0,0
Paraguay,90627,0,136,0,0,18,1,2,0
Peru,568559,0,764,0,0,133,2,13,0
Suriname,1430,0,6,0,0,1,0,0,0
Uruguay,103477,0,141,0,0,24,1,2,0
Venezuela,165527,0,256,0,0,49,1,4,0
Albania,2799,0,11,0,0,3,0,1,0
Andorra,0,0,0,0,0,0,0,0,0
Armenia,3525,0,11,0,0,4,0,1,0
Austria,4641,0,17,0,0,15,0,0,0
Belgium,6756,0,17,0,0,8,0,0,0
Bosnia and Herzegovina,64,0,2,0,0,0,0,0,0
Bulgaria,2424,0,9,0,0,3,0,1,0
Croatia,597,0,6,0,0,4,0,1,0
Czech Republic,2503,0,13,0,0,2,0,1,0
Denmark,4410,0,23,0,0,13,1,1,0
Estonia,1123,0,4,0,0,2,0,0,0
Finland,4961,0,30,0,0,29,1,1,0
France,37996,0,108,0,0,66,0,2,0
Georgia,289,0,1,0,0,1,0,0,0
Germany,39726,0,166,0,0,111,2,3,0
Greece,759,0,4,0,0,1,0,1,0
Guernsey,48,0,1,0,0,0,0,0,0
Hungary,5176,0,22,0,0,6,0,1,0
Iceland,274,0,2,0,0,1,0,0,0
Ireland,3437,0,13,0,0,3,0,0,0
Isle of Man,316,0,1,0,0,0,0,0,0
Italy,26248,0,103,0,0,68,0,2,0
Jersey,320,0,1,0,0,1,0,0,0
Latvia,1215,0,5,0,0,4,0,1,0
Lithuania,982,0,5,0,0,3,0,0,0
Luxembourg,427,0,1,0,0,0,0,0,0
Malta,189,0,1,0,0,1,0,0,0
Moldova,375,0,4,0,0,1,0,0,0
Montenegro,17,0,1,0,0,0,0,0,0
Netherlands,9017,0,33,0,0,13,1,1,0
Norway,4681,0,22,0,0,15,0,1,0
Poland,1861,0,13,0,0,5,0,1,0
Portugal,43240,0,74,0,0,25,0,2,0
Romania,3043,0,16,0,0,2,0,1,0
Russia,22720,0,100,0,0,63,0,7,0
Serbia,359,0,3,0,0,2,0,0,0
Slovakia,255,0,4,0,0,0,0,0,0
Slovenia,433,0,5,0,0,1,0,0,0
Spain,53933,0,142,0,0,58,1,3,0
Sweden,9541,0,40,0,0,37,1,1,0
Switzerland,9072,0,37,0,0,17,1,0,0
Turkey,439,0,12,0,0,0,0,1,0
Ukraine,11559,0,49,0,0,41,1,3,0
United Kingdom,186423,0,332,0,0,122,2,6,0
Cambodia,13349,0,30,0,0,4,0,1,0
China,0,0,0,0,0,1,0,0,0
Cyprus,448,0,4,0,0,3,0,0,0
Hong Kong,24856,0,40,0,0,4,1,1,0
India,12701,0,43,0,0,6,0,2,0
Indonesia,7182,0,24,0,0,4,0,1,0
Israel,216,0,4,0,0,0,0,0,0
Japan,128216,0,266,0,0,63,2,7,0
Kazakhstan,275,0,2,0,0,0,0,0,0
Macau,1410,0,3,0,0,1,0,0,0
Malaysia,9725,0,34,0,0,8,0,0,0
Mongolia,11250,0,23,0,0,4,0,1,0
Philippines,728295,0,1201,0,0,176,2,21,0
Singapore,3611,0,11,0,0,1,0,1,0
South Korea,87296,0,122,0,0,24,1,4,0
Sri Lanka,1367,0,3,0,0,3,0,0,0
Taiwan,58756,0,113,0,0,12,1,2,0
Thailand,20730,0,39,0,0,7,0,1,0
United Arab Emirates,1524,0,6,0,0,1,0,0,0
American Samoa,16149,0,41,0,0,4,0,0,0
Australia,146443,0,309,0,0,176,5,6,0
Cook Islands,1835,0,5,0,0,3,0,0,0
Fiji,18912,0,48,0,0,10,1,1,0
French Polynesia,25841,0,90,0,0,19,1,1,0
Guam,2295,0,4,0,0,1,0,1,0
Kiribati,17462,0,26,0,0,2,0,0,0
Marshall Islands,7233,0,14,0,0,3,0,1,0
Micronesia,5732,0,22,0,0,7,0,0,0
Nauru,103,0,1,0,0,0,0,0,0
New Caledonia,2320,0,8,0,0,2,0,0,0
New Zealand,111141,0,222,0,0,51,1,3,0
Niue,302,0,2,0,0,1,0,0,0
Northern Mariana Islands,793,0,1,0,0,2,0,0,0
Palau,491,0,1,0,0,1,0,0,0
Papua New Guinea,24780,0,75,0,0,2,0,2,0
Samoa,77353,0,145,0,0,18,1,1,0
Solomon Islands,794,0,4,0,0,0,0,0,0
Tonga,63392,0,166,0,0,19,1,1,0
Tuvalu,222,0,1,0,0,0,0,0,0
Vanuatu,7237,0,32,0,0,2,0,1,0
Angola,1908,0,7,0,0,1,0,1,0
Benin,2255,0,14,0,0,1,0,1,0
Botswana,3167,0,12,0,0,2,0,1,0
Burundi,597,0,3,0,0,0,0,0,0
Cameroon,1480,0,10,0,0,0,0,0,0
Cape Verde,12786,0,38,0,0,5,0,1,0
Central African Republic,219,0,1,0,0,0,0,0,0
Cote d'Ivoire,32258,0,130,0,0,22,0,2,0
Democratic Republic of the Congo,47929,0,153,0,0,11,0,2,0
Ethiopia,1903,0,5,0,0,1,0,0,0
Ghana,67398,0,244,0,0,41,1,4,0
Kenya,12898,0,46,0,0,5,0,1,0
Lesotho,873,0,2,0,0,1,0,0,0
Liberia,9675,0,24,0,0,3,0,1,0
Madagascar,10859,0,39,0,0,1,0,1,0
Malawi,2143,0,8,0,0,0,0,0,0
Mauritius,471,0,2,0,0,0,0,0,0
Mozambique,8584,0,28,0,0,2,0,1,0
Namibia,848,0,4,0,0,1,0,0,0
Nigeria,142033,0,454,0,0,53,1,5,0
Republic of the Congo,6413,0,19,0,0,2,0,1,0
Reunion,917,0,4,0,0,2,0,0,0
Rwanda,344,0,3,0,0,0,0,0,0
Sierra Leone,16155,0,45,0,0,4,0,1,0
South Africa,62600,0,168,0,0,71,1,3,0
Swaziland,1837,0,6,0,0,2,0,0,0
Tanzania,1456,0,6,0,0,1,0,0,0
Togo,3279,0,16,0,0,1,0,0,0
Uganda,14289,0,27,0,0,2,0,1,0
Zambia,3577,0,13,0,0,2,0,1,0
Zimbabwe,27825,0,71,0,0,4,0,1,0
