Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,39832,8,76,48,28,44,1,1,0
Alaska,33574,9,81,60,21,15,1,1,0
Arizona,439411,116,930,844,86,74,6,6,0
Arkansas,35405,7,73,51,22,25,0,2,0
California,728995,146,1134,1001,133,228,7,15,0
Colorado,148708,35,310,275,35,64,2,4,0
Connecticut,15838,3,36,29,7,10,1,0,0
Delaware,5613,2,12,10,2,3,0,0,0
District of Columbia,3168,0,4,4,0,1,0,0,0
Florida,168527,34,282,229,53,84,2,4,0
Georgia,89285,19,164,135,29,44,1,2,0
Hawaii,74952,16,143,127,16,26,2,2,0
Idaho,473894,137,1213,1162,51,70,6,3,0
Illinois,57015,12,116,91,25,42,2,1,0
Indiana,46823,12,101,78,23,40,1,1,0
Iowa,28697,8,70,42,28,30,0,1,0
Kansas,39356,7,74,59,15,29,0,1,0
Kentucky,37830,8,83,51,32,28,1,1,0
Louisiana,29727,7,52,33,19,15,1,1,0
Maine,11054,2,26,18,8,10,0,0,0
Maryland,43296,10,82,65,17,14,1,2,0
Massachusetts,28197,7,57,43,14,18,1,1,0
Michigan,45547,10,99,62,37,43,1,2,1
Minnesota,33365,8,75,53,22,29,1,1,0
Mississippi,22189,4,49,30,19,20,0,0,0
Missouri,77959,18,160,138,22,51,2,2,0
Montana,51715,13,129,88,41,50,1,1,0
Nebraska,25229,5,57,41,16,18,1,1,0
Nevada,181975,42,353,313,40,34,2,3,0
New Hampshire,8996,3,21,17,4,6,0,1,0
New Jersey,34536,6,65,42,23,20,0,1,0
New Mexico,69055,14,137,102,35,31,1,2,0
New York,84857,17,144,95,49,65,2,2,1
North Carolina,94018,19,181,140,41,51,1,2,0
North Dakota,11487,3,26,20,6,7,1,1,0
Ohio,63814,15,125,102,23,46,1,2,0
Oklahoma,51847,9,93,73,20,30,1,1,0
Oregon,150207,35,296,248,48,76,2,3,0
Pennsylvania,52193,13,106,78,28,46,1,2,0
Rhode Island,4351,1,8,6,2,1,0,0,0
South Carolina,44230,9,79,63,16,23,1,1,0
South Dakota,11494,2,31,14,17,13,0,0,0
Tennessee,57422,12,114,85,29,35,2,2,0
Texas,378281,78,744,616,128,138,4,10,2
Utah,2173560,629,5412,5094,318,170,17,10,2
Vermont,4631,1,12,8,4,8,0,0,0
Virginia,97449,22,215,178,37,46,0,2,0
Washington,281389,59,489,431,58,97,3,7,0
West Virginia,17294,4,35,23,12,14,0,1,0
Wisconsin,27943,6,68,48,20,29,0,1,0
Wyoming,67797,19,172,143,29,46,1,0,0
