Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Angola,1257,0,5,0,0,0,0,0,0
Benin,1081,0,6,0,0,1,0,1,0
Botswana,2152,0,7,0,0,2,0,0,0
Cameroon,1277,0,6,0,0,0,0,0,0
Cape Verde,9326,0,23,0,0,2,0,1,0
Central African Republic,194,0,1,0,0,0,0,0,0
Cote d'Ivoire,18602,0,53,0,0,7,0,1,0
Democratic Republic of the Congo,34547,0,116,0,0,6,0,2,0
Ethiopia,1678,0,5,0,0,1,0,0,0
Ghana,52387,0,148,0,0,30,1,3,0
Kenya,11869,0,41,0,0,2,0,1,0
Lesotho,880,0,2,0,0,1,0,0,0
Liberia,6709,0,20,0,0,2,0,0,0
Madagascar,9190,0,37,0,0,1,0,1,0
Malawi,1421,0,6,0,0,0,0,0,0
Mauritius,428,0,2,0,0,0,0,0,0
Mozambique,6029,0,21,0,0,2,0,1,0
Namibia,763,0,2,0,0,1,0,0,0
Nigeria,109998,0,350,0,0,45,1,4,0
Republic of the Congo,5750,0,17,0,0,1,0,0,0
Reunion,882,0,5,0,0,2,0,0,0
Rwanda,121,0,2,0,0,0,0,0,0
Sierra Leone,11664,0,27,0,0,2,0,1,0
South Africa,59807,0,152,0,0,60,1,3,0
Swaziland,1522,0,4,0,0,2,0,0,0
Tanzania,1220,0,6,0,0,1,0,0,0
Togo,1861,0,11,0,0,1,0,0,0
Uganda,11442,0,25,0,0,2,0,1,0
Zambia,3044,0,12,0,0,2,0,1,0
Zimbabwe,23117,0,60,0,0,4,0,1,0
Cambodia,11469,0,27,0,0,3,0,1,0
China,0,0,0,0,0,1,0,0,0
Cyprus,430,0,4,0,0,3,0,0,0
Hong Kong,24188,0,33,0,0,4,1,1,0
India,10958,0,40,0,0,5,0,2,0
Indonesia,6904,0,23,0,0,3,0,1,0
Israel,260,0,4,0,0,0,0,0,0
Japan,126407,0,281,0,0,57,2,6,0
Kazakhstan,216,0,1,0,0,0,0,0,0
Macau,1345,0,2,0,0,1,0,0,0
Malaysia,8967,0,33,0,0,8,0,0,0
Mongolia,10591,0,23,0,0,4,0,1,0
