Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,36255,0,78,0,0,36,1,1,0
Kentucky,33757,0,77,0,0,23,1,1,0
North Dakota,9994,0,21,0,0,7,1,0,0
Alaska,33204,0,84,0,0,15,1,1,0
Louisiana,29682,0,53,0,0,13,1,1,0
Ohio,60364,0,125,0,0,43,1,3,0
Arizona,410263,0,836,0,0,66,4,6,0
Maine,10845,0,27,0,0,11,0,0,0
Oklahoma,45734,0,86,0,0,24,1,2,0
Arkansas,29345,0,66,0,0,21,0,1,0
Maryland,43459,0,81,0,0,13,1,2,0
Oregon,152011,0,306,0,0,66,2,3,0
California,780200,0,1355,0,0,184,7,19,0
Massachusetts,26423,0,52,0,0,12,1,1,0
Pennsylvania,51527,0,106,0,0,41,0,2,0
Colorado,149876,0,306,0,0,52,1,4,0
Michigan,43579,0,95,0,0,42,1,2,0
Rhode Island,4133,0,8,0,0,1,0,0,0
Connecticut,15352,0,34,0,0,9,0,0,0
Minnesota,31871,0,75,0,0,23,1,1,0
South Carolina,39473,0,68,0,0,19,1,1,0
Delaware,5192,0,12,0,0,3,0,0,0
Mississippi,21699,0,44,0,0,16,0,1,0
South Dakota,10644,0,33,0,0,11,0,1,0
District of Columbia,2488,0,3,0,0,0,0,0,0
Missouri,68962,0,151,0,0,45,2,2,0
Tennessee,48612,0,102,0,0,30,2,2,0
Florida,146509,0,238,0,0,69,2,5,0
Montana,48344,0,124,0,0,46,1,1,0
Texas,325946,0,620,0,0,112,4,8,0
Georgia,81563,0,150,0,0,42,1,3,0
Nebraska,24140,0,60,0,0,18,1,1,0
Utah,1975939,0,4916,0,0,148,14,9,0
Hawaii,73471,0,138,0,0,25,2,1,0
Nevada,180600,0,327,0,0,29,2,3,0
Vermont,4600,0,12,0,0,6,0,0,0
Idaho,425739,0,1102,0,0,63,4,4,0
New Hampshire,8298,0,19,0,0,6,0,1,0
Virginia,93395,0,197,0,0,35,0,3,0
Illinois,56932,0,127,0,0,36,2,3,0
New Jersey,33066,0,61,0,0,18,0,1,0
Washington,279492,0,543,0,0,78,3,7,0
Indiana,42856,0,99,0,0,29,0,1,0
New Mexico,69703,0,142,0,0,31,1,2,0
West Virginia,17227,0,37,0,0,14,0,1,0
Iowa,26547,0,69,0,0,29,0,1,0
New York,80535,0,149,0,0,53,2,4,0
Wisconsin,25693,0,68,0,0,24,0,1,0
Kansas,35902,0,75,0,0,25,0,1,0
North Carolina,81189,0,154,0,0,46,1,2,0
Wyoming,66259,0,155,0,0,38,0,0,0
