Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Antigua and Barbuda,237,0,1,0,0,1,0,0,0
Aruba,591,0,2,0,0,2,0,0,0
Bahamas,1042,0,3,0,0,1,0,0,0
Barbados,1047,0,3,0,0,1,0,1,0
Belize,5332,0,11,0,0,2,0,0,0
Canada,196586,0,496,0,0,190,8,7,0
Cayman Islands,231,0,1,0,0,0,0,0,0
Costa Rica,47474,0,75,0,0,12,1,2,0
Curacao,550,0,1,0,0,1,0,0,0
Dominica,165,0,1,0,0,0,0,0,0
Dominican Republic,134743,0,195,0,0,31,1,3,0
El Salvador,125936,0,164,0,0,23,1,3,0
Grenada,416,0,1,0,0,0,0,0,0
Guadeloupe,512,0,3,0,0,2,0,0,0
Guatemala,272449,0,440,0,0,66,2,6,0
Haiti,23046,0,46,0,0,11,0,1,0
Honduras,175128,0,236,0,0,33,1,4,0
Jamaica,6425,0,18,0,0,4,0,1,0
Martinique,212,0,1,0,0,1,0,0,0
Mexico,1435383,0,1987,0,0,280,13,34,0
Nicaragua,98534,0,111,0,0,14,0,2,0
Panama,52702,0,72,0,0,13,1,1,0
Puerto Rico,23234,0,41,0,0,8,0,1,0
Saint Kitts and Nevis,238,0,1,0,0,1,0,0,0
Saint Lucia,351,0,2,0,0,0,0,0,0
Saint Maarten,281,0,1,0,0,0,0,0,0
Saint Vincent,683,0,3,0,0,1,0,0,0
Trinidad and Tobago,3454,0,9,0,0,1,0,1,0
United States,6641886,0,14225,0,0,2164,81,125,0
Virgin Islands,576,0,2,0,0,0,0,0,0
Argentina,452309,0,763,0,0,116,2,14,0
Bolivia,203073,0,255,0,0,42,1,5,0
Brazil,1383799,0,2089,0,0,366,6,34,0
Chile,590124,0,601,0,0,104,1,10,0
Colombia,200512,0,250,0,0,53,1,5,0
Ecuador,243730,0,303,0,0,53,1,5,0
French Guiana,428,0,1,0,0,0,0,0,0
Guyana,5840,0,11,0,0,4,0,0,0
Paraguay,93412,0,135,0,0,19,1,2,0
Peru,590121,0,747,0,0,144,2,13,0
Suriname,1578,0,5,0,0,3,0,0,0
Uruguay,104996,0,139,0,0,24,1,2,0
Venezuela,168123,0,246,0,0,51,1,4,0
Albania,2888,0,12,0,0,3,0,1,0
Andorra,0,0,0,0,0,0,0,0,0
Armenia,3570,0,11,0,0,4,0,1,0
Austria,4664,0,17,0,0,16,0,0,0
