Name,TotalChurchMembership,Stakes,Congregations,Wards,Branches,FamilySearchCenters,Temples,Missions,Districts
Alabama,37487,0,74,0,0,44,1,1,0
Alaska,33492,0,82,0,0,15,1,1,0
Arizona,428069,0,895,0,0,74,6,6,0
Arkansas,31254,0,70,0,0,25,0,1,0
California,767252,0,1278,0,0,228,7,20,0
Colorado,151433,0,304,0,0,64,2,4,0
Connecticut,15870,0,34,0,0,10,1,0,0
Delaware,5527,0,12,0,0,3,0,0,0
District of Columbia,2848,0,4,0,0,1,0,0,0
Florida,156724,0,260,0,0,84,2,5,0
Georgia,85363,0,157,0,0,44,1,3,0
Hawaii,74278,0,141,0,0,26,2,1,0
Idaho,450347,0,1126,0,0,70,5,4,0
Illinois,57111,0,125,0,0,42,2,3,0
Indiana,44876,0,100,0,0,40,1,1,0
Iowa,28160,0,66,0,0,30,0,1,0
Kansas,37780,0,77,0,0,29,0,1,0
Kentucky,35125,0,77,0,0,28,1,1,0
Louisiana,29787,0,57,0,0,15,1,1,0
Maine,10947,0,26,0,0,10,0,0,0
Maryland,43721,0,79,0,0,14,1,2,0
Massachusetts,27576,0,57,0,0,18,1,1,0
Michigan,44849,0,95,0,0,43,1,2,0
Minnesota,33012,0,75,0,0,29,1,1,0
Mississippi,21725,0,51,0,0,20,0,1,0
Missouri,71212,0,152,0,0,51,2,2,0
Montana,50420,0,122,0,0,50,1,1,0
Nebraska,24945,0,57,0,0,18,1,1,0
Nevada,183638,0,339,0,0,34,2,3,0
New Hampshire,8771,0,21,0,0,6,0,1,0
New Jersey,33726,0,64,0,0,20,0,1,0
New Mexico,69627,0,143,0,0,31,1,2,0
New York,82361,0,143,0,0,65,2,4,0
North Carolina,86132,0,161,0,0,51,1,2,0
North Dakota,11244,0,24,0,0,7,1,1,0
Ohio,61966,0,125,0,0,46,1,3,0
Oklahoma,47852,0,94,0,0,30,1,2,0
Oregon,153955,0,309,0,0,76,2,3,0
Pennsylvania,51765,0,109,0,0,46,1,2,0
Rhode Island,4177,0,8,0,0,1,0,0,0
South Carolina,40608,0,69,0,0,23,1,1,0
South Dakota,10626,0,32,0,0,13,0,0,0
Tennessee,51050,0,104,0,0,35,2,2,0
Texas,353317,0,692,0,0,138,4,8,0
Utah,2090401,0,5110,0,0,170,17,11,0
Vermont,4625,0,12,0,0,8,0,0,0
Virginia,95379,0,200,0,0,46,0,3,0
Washington,288515,0,546,0,0,97,3,8,0
West Virginia,16933,0,34,0,0,14,0,1,0
Wisconsin,26753,0,66,0,0,29,0,1,0
Wyoming,67275,0,167,0,0,46,1,1,0
